LATITUDE,LONGITUDE,UTM_X,UTM_Y,UTM_ZONE,DATE,TIME,SATELLITE,TUMBOON,AUMPER,PROVINCE,TYPE,NAME,FOREST,OWN 
19.13586000,100.83226000,692714,2116871,47Q,2026-05-19,126,N,ท่าวังผา,ท่าวังผา,น่าน,ALRO,เขต ส.ป.ก. จังหวัดน่าน,N,ALRO
 19.13623000,100.82894000,692364,2116908,47Q,2026-05-19,126,N,ท่าวังผา,ท่าวังผา,น่าน,ALRO,เขต ส.ป.ก. จังหวัดน่าน,N,ALRO
 19.44503000,100.69870000,678328,2150950,47Q,2026-05-19,1418,N,ชนแดน,สองแคว,น่าน,NRF,ป่าน้ำยาว และป่าน้ำสวด,Y,RFD
 19.60616000,101.01869000,711720,2169152,47Q,2026-05-19,1418,N,ห้วยโก๋น,เฉลิมพระเกียรติ,น่าน,NRF,ป่าดอยภูคาและป่าผาแดง,N,RFD
 19.60659000,101.02289000,712160,2169205,47Q,2026-05-19,1418,N,ห้วยโก๋น,เฉลิมพระเกียรติ,น่าน,NRF,ป่าดอยภูคาและป่าผาแดง,N,RFD
 18.41043000,99.39181000,541381,2035640,47Q,2026-05-19,1416,N,บ้านเอื้อม,เมืองลำปาง,ลำปาง,OTHER,พื้นที่อื่น,N,OTHER
 18.83268000,99.60276000,563504,2082422,47Q,2026-05-19,1418,N,แม่สุก,แจ้ห่ม,ลำปาง,FIO,สวนป่าแม่สุก,Y,FIO
 14.71045000,100.72429000,685646,1627010,47P,2026-05-19,1416,N,บ้านโปร่ง,หนองโดน,สระบุรี,OTHER,พื้นที่อื่น,N,OTHER
 14.71196000,100.72496000,685717,1627178,47P,2026-05-19,1416,N,บ้านโปร่ง,หนองโดน,สระบุรี,OTHER,พื้นที่อื่น,N,OTHER
 14.71561000,100.72367000,685575,1627581,47P,2026-05-19,1416,N,บ้านโปร่ง,หนองโดน,สระบุรี,OTHER,พื้นที่อื่น,N,OTHER
 14.27719000,99.96861000,604479,1578600,47P,2026-05-19,1416,N,ดอนมะเกลือ,อู่ทอง,สุพรรณบุรี,OTHER,พื้นที่อื่น,N,OTHER
 15.69696000,105.38335000,541077,1735452,48P,2026-05-19,126,N,สำโรง,โพธิ์ไทร,อุบลราชธานี,NRF,ป่าดงภูโหล่น,N,RFD
 15.69721000,105.38541000,541297,1735480,48P,2026-05-19,126,N,สำโรง,โพธิ์ไทร,อุบลราชธานี,NRF,ป่าดงภูโหล่น,N,RFD
